,Time,y
0,2004-01,19
1,2004-02,28
2,2004-03,26
3,2004-04,23
4,2004-05,24
5,2004-06,19
6,2004-07,17
7,2004-08,17
8,2004-09,21
9,2004-10,21
10,2004-11,25
11,2004-12,22
12,2005-01,21
13,2005-02,25
14,2005-03,21
15,2005-04,26
16,2005-05,23
17,2005-06,21
18,2005-07,21
19,2005-08,19
20,2005-09,21
21,2005-10,26
22,2005-11,28
23,2005-12,23
24,2006-01,24
25,2006-02,25
26,2006-03,29
27,2006-04,26
28,2006-05,24
29,2006-06,23
30,2006-07,19
31,2006-08,19
32,2006-09,23
33,2006-10,35
34,2006-11,37
35,2006-12,24
36,2007-01,37
37,2007-02,54
38,2007-03,49
39,2007-04,53
40,2007-05,43
41,2007-06,34
42,2007-07,34
43,2007-08,32
44,2007-09,36
45,2007-10,46
46,2007-11,50
47,2007-12,42
48,2008-01,38
49,2008-02,41
50,2008-03,42
51,2008-04,45
52,2008-05,41
53,2008-06,37
54,2008-07,31
55,2008-08,28
56,2008-09,35
57,2008-10,41
58,2008-11,40
59,2008-12,33
60,2009-01,31
61,2009-02,38
62,2009-03,40
63,2009-04,42
64,2009-05,41
65,2009-06,40
66,2009-07,34
67,2009-08,32
68,2009-09,43
69,2009-10,57
70,2009-11,67
71,2009-12,81
72,2010-01,48
73,2010-02,49
74,2010-03,45
75,2010-04,43
76,2010-05,40
77,2010-06,29
78,2010-07,25
79,2010-08,28
80,2010-09,31
81,2010-10,34
82,2010-11,37
83,2010-12,29
84,2011-01,30
85,2011-02,31
86,2011-03,33
87,2011-04,28
88,2011-05,31
89,2011-06,27
90,2011-07,23
91,2011-08,22
92,2011-09,26
93,2011-10,30
94,2011-11,34
95,2011-12,27
96,2012-01,24
97,2012-02,28
98,2012-03,29
99,2012-04,27
100,2012-05,27
101,2012-06,20
102,2012-07,21
103,2012-08,19
104,2012-09,24
105,2012-10,28
106,2012-11,32
107,2012-12,23
108,2013-01,23
109,2013-02,26
110,2013-03,27
111,2013-04,27
112,2013-05,26
113,2013-06,23
114,2013-07,20
115,2013-08,19
116,2013-09,27
117,2013-10,28
118,2013-11,30
119,2013-12,21
120,2014-01,26
121,2014-02,29
122,2014-03,31
123,2014-04,32
124,2014-05,37
125,2014-06,26
126,2014-07,20
127,2014-08,22
128,2014-09,36
129,2014-10,31
130,2014-11,36
131,2014-12,25
132,2015-01,26
133,2015-02,30
134,2015-03,34
135,2015-04,34
136,2015-05,30
137,2015-06,30
138,2015-07,23
139,2015-08,27
140,2015-09,36
141,2015-10,38
142,2015-11,48
143,2015-12,52
144,2016-01,35
145,2016-02,37
146,2016-03,41
147,2016-04,42
148,2016-05,39
149,2016-06,28
150,2016-07,24
151,2016-08,26
152,2016-09,34
153,2016-10,41
154,2016-11,60
155,2016-12,42
156,2017-01,46
157,2017-02,44
158,2017-03,48
159,2017-04,47
160,2017-05,44
161,2017-06,51
162,2017-07,29
163,2017-08,30
164,2017-09,44
165,2017-10,39
166,2017-11,45
167,2017-12,34
168,2018-01,36
169,2018-02,37
170,2018-03,36
171,2018-04,39
172,2018-05,38
173,2018-06,24
174,2018-07,23
175,2018-08,29
176,2018-09,32
177,2018-10,50
178,2018-11,49
179,2018-12,40
180,2019-01,40
181,2019-02,51
182,2019-03,61
183,2019-04,64
184,2019-05,63
185,2019-06,51
186,2019-07,41
187,2019-08,49
188,2019-09,100
189,2019-10,75
190,2019-11,68
191,2019-12,58
192,2020-01,70
193,2020-02,63
194,2020-03,49
195,2020-04,43
196,2020-05,41
197,2020-06,33
198,2020-07,25
199,2020-08,29
200,2020-09,60
201,2020-10,55
202,2020-11,46
203,2020-12,35
204,2021-01,38
205,2021-02,47
