,Time,y
0,301,1
1,601,1
2,860,1
3,920,1
4,1399,1
5,1490,1
6,1491,1
7,1495,1
8,1519,1
9,1575,1
10,1583,1
11,1600,1
12,1621,1
13,1623,1
14,1628,1
15,1632,1
16,1636,1
17,1637,1
18,1647,1
19,1654,1
20,1662,1
21,1668,1
22,1671,1
23,1688,1
24,1704,1
25,1715,1
26,1716,1
27,1723,1
28,1724,1
29,1740,1
30,1741,1
31,1749,1
32,1750,1
33,1751,1
34,1753,2
35,1766,1
36,1768,2
37,1769,1
38,1773,1
39,1775,2
40,1776,1
41,1779,1
42,1781,1
43,1784,2
44,1785,1
45,1787,1
46,1790,1
47,1791,1
48,1792,1
49,1793,1
50,1794,1
51,1795,2
52,1796,2
53,1797,1
54,1798,2
55,1801,1
56,1803,3
57,1804,6
58,1805,3
59,1806,1
60,1807,2
61,1808,5
62,1809,1
63,1810,5
64,1811,3
65,1812,4
66,1813,2
67,1814,5
68,1815,2
69,1817,1
70,1818,5
71,1819,3
72,1820,1
73,1821,1
74,1822,8
75,1823,2
76,1824,3
77,1825,3
78,1826,3
79,1827,3
80,1828,2
81,1829,4
82,1830,2
83,1831,2
84,1832,1
85,1833,1
86,1834,3
87,1835,2
88,1836,5
89,1837,5
90,1838,7
91,1839,5
92,1840,7
93,1841,4
94,1842,5
95,1843,7
96,1844,4
97,1845,3
98,1846,7
99,1847,5
100,1848,4
101,1849,3
102,1850,8
103,1851,3
104,1852,8
105,1853,5
106,1854,9
107,1855,9
108,1856,6
109,1857,10
110,1858,8
111,1859,5
112,1860,11
113,1861,6
114,1862,3
115,1863,15
116,1864,4
117,1865,8
118,1866,12
119,1867,8
120,1868,16
121,1869,12
122,1870,6
123,1871,7
124,1872,6
125,1873,10
126,1874,6
127,1875,13
128,1876,9
129,1877,9
130,1878,9
131,1879,14
132,1880,15
133,1881,10
134,1882,9
135,1883,10
136,1884,11
137,1885,7
138,1886,10
139,1887,21
140,1888,15
141,1889,15
142,1890,20
143,1891,10
144,1892,11
145,1893,12
146,1894,10
147,1895,10
148,1896,10
149,1897,12
150,1898,17
151,1899,14
152,1900,17
153,1901,10
154,1902,12
155,1903,22
156,1904,11
157,1905,14
158,1906,13
159,1907,16
160,1908,13
161,1909,11
162,1910,20
163,1911,12
164,1912,12
165,1913,11
166,1914,18
167,1915,13
168,1916,20
169,1917,19
170,1918,15
171,1919,14
172,1920,14
173,1921,18
174,1922,15
175,1923,16
176,1924,18
177,1925,18
178,1926,13
179,1927,16
180,1928,16
181,1929,15
182,1930,20
183,1931,22
184,1932,25
185,1933,30
186,1934,27
187,1935,19
188,1936,35
189,1937,54
190,1938,45
191,1939,32
192,1940,37
193,1941,23
194,1942,20
195,1943,10
196,1944,20
197,1945,11
198,1946,13
199,1947,19
200,1948,20
201,1949,23
202,1950,40
203,1951,20
204,1952,18
205,1953,9
206,1954,22
207,1955,24
208,1956,27
209,1957,18
210,1958,18
211,1959,16
212,1960,30
213,1961,27
214,1962,36
215,1963,34
216,1964,33
217,1965,50
218,1966,26
219,1967,37
220,1968,54
221,1969,70
222,1970,48
223,1971,49
224,1972,32
225,1973,31
226,1974,691
227,1975,337
228,1976,52
229,1977,421
230,1978,262
231,1979,3046
232,1980,152
233,1981,463
234,1982,344
235,1983,360
236,1984,402
237,1985,378
238,1986,1375
239,1987,916
240,1988,2296
241,1989,136
242,1990,1518
243,1991,877
244,1992,372
245,1993,979
246,1994,719
247,1995,487
248,1996,583
249,1997,1696
250,1998,2697
251,1999,1691
252,2000,1792
253,2001,1650
254,2002,2078
255,2003,3323
256,2004,1940
257,2005,875
258,2006,2456
259,2007,1189
260,2008,957
261,2009,1497
262,2010,1005
263,2011,713
264,2012,234
265,2013,11
