,Time,y
0,2015-01-01,76
1,2015-02-01,77
2,2015-03-01,92
3,2015-04-01,84
4,2015-05-01,71
5,2015-06-01,65
6,2015-07-01,104
7,2015-08-01,94
8,2015-09-01,82
9,2015-10-01,84
10,2015-11-01,77
11,2015-12-01,88
12,2016-01-01,81
13,2016-02-01,86
14,2016-03-01,92
15,2016-04-01,73
16,2016-05-01,74
17,2016-06-01,92
18,2016-07-01,72
19,2016-08-01,82
20,2016-09-01,78
21,2016-10-01,77
22,2016-11-01,77
23,2016-12-01,77
24,2017-01-01,92
25,2017-02-01,100
26,2017-03-01,76
27,2017-04-01,67
28,2017-05-01,74
29,2017-06-01,84
30,2017-07-01,94
31,2017-08-01,82
32,2017-09-01,70
33,2017-10-01,85
34,2017-11-01,84
35,2017-12-01,78
36,2018-01-01,99
37,2018-02-01,80
38,2018-03-01,109
39,2018-04-01,98
40,2018-05-01,83
41,2018-06-01,81
42,2018-07-01,89
43,2018-08-01,74
44,2018-09-01,55
45,2018-10-01,75
46,2018-11-01,76
47,2018-12-01,71
48,2019-01-01,93
49,2019-02-01,72
50,2019-03-01,88
51,2019-04-01,71
52,2019-05-01,74
53,2019-06-01,86
54,2019-07-01,80
55,2019-08-01,86
56,2019-09-01,78
57,2019-10-01,89
58,2019-11-01,76
59,2019-12-01,106
60,2020-01-01,88
61,2020-02-01,78
62,2020-03-01,93
63,2020-04-01,79
64,2020-05-01,110
65,2020-06-01,76
66,2020-07-01,68
67,2020-08-01,86
68,2020-09-01,59
69,2020-10-01,101
70,2020-11-01,85
71,2020-12-01,81
72,2021-01-01,70
