,Time,y
0,1920,113.2268997
1,1921,102.4253974
2,1922,100.0331488
3,1923,114.0107297
4,1924,120.689572
5,1925,115.4798315
6,1926,109.5709722
7,1927,112.6637067
8,1928,106.749062
9,1929,110.9267108
10,1930,109.9247884
11,1931,108.9743781
12,1932,110.4779527
13,1933,112.5965043
14,1934,115.4055292
15,1935,110.7225874
16,1936,108.393047
17,1937,115.1677428
18,1938,111.6443248
19,1939,113.324182
20,1940,108.8721107
21,1941,107.8466711
22,1942,106.005414
23,1943,106.171028
24,1944,105.9203424
25,1945,108.256917
26,1946,103.1214258
27,1947,108.9728833
28,1948,107.6842115
29,1949,108.8755635
30,1950,110.500212
31,1951,109.5698825
32,1952,108.2383545
33,1953,110.008113
34,1954,108.5619125
35,1955,110.581081
36,1956,111.8801715
37,1957,112.5288855
38,1958,112.511724
39,1959,111.38834
40,1960,112.3545995
41,1961,111.6490555
42,1962,114.6859515
43,1963,114.3029375
44,1964,114.7052969
45,1965,116.6388117
46,1966,117.0764222
47,1967,116.0915986
48,1968,115.8942227
49,1969,117.0169673
50,1970,117.3742821
51,1971,118.1683077
52,1972,119.3463416
53,1973,120.0493272
54,1974,118.9931334
55,1975,118.8616705
56,1976,120.2947814
57,1977,121.6445122
58,1978,120.2093194
59,1979,122.173583
60,1980,122.6728706
61,1981,123.0404928
62,1982,120.8919885
63,1983,120.849679
64,1984,121.1312244
65,1985,121.2249851
66,1986,120.2389995
67,1987,120.0575514
68,1988,119.9393824
69,1989,120.3593646
70,1990,120.0291051
71,1991,119.7914743
72,1992,122.6890428
73,1993,120.4223093
74,1994,117.9595206
75,1995,118.965039
76,1996,117.9722989
77,1997,118.1493251
78,1998,118.0700821
79,1999,119.4758477
80,2000,117.6681981
81,2001,118.3389021
82,2002,119.453072
83,2003,120.191265
84,2004,120.6073889
85,2005,123.5640493
86,2006,123.0936652
87,2007,125.2032766
88,2008,120.6443778
89,2009,124.8294523
90,2010,123.3271596
91,2011,124.2413348
92,2012,123.3806105
93,2013,124.1597128
94,2014,124.6214969
95,2015,120.8787926
96,2016,123.8149293
97,2017,121.8298066
98,2018,123.6442881
99,2019,122.4197024
100,2020,124.0583081
101,2021,120.525875
