,Time,y
0,2016-01-01,492
1,2016-02-01,494
2,2016-03-01,441
3,2016-04-01,284
4,2016-05-01,351
5,2016-06-01,303
6,2016-07-01,378
7,2016-08-01,325
8,2016-09-01,296
9,2016-10-01,530
10,2016-11-01,193
11,2016-12-01,138
12,2017-01-01,214
13,2017-02-01,154
14,2017-03-01,147
15,2017-04-01,152
16,2017-05-01,155
17,2017-06-01,212
18,2017-07-01,245
19,2017-08-01,267
20,2017-09-01,306
21,2017-10-01,290
22,2017-11-01,261
23,2017-12-01,199
24,2018-01-01,205
25,2018-02-01,175
26,2018-03-01,171
27,2018-04-01,257
28,2018-05-01,259
29,2018-06-01,386
30,2018-07-01,336
31,2018-08-01,380
32,2018-09-01,383
33,2018-10-01,384
34,2018-11-01,338
35,2018-12-01,294
36,2019-01-01,369
37,2019-02-01,249
38,2019-03-01,405
39,2019-04-01,431
40,2019-05-01,692
41,2019-06-01,487
42,2019-07-01,692
43,2019-08-01,690
44,2019-09-01,797
45,2019-10-01,1018
46,2019-11-01,862
47,2019-12-01,1126
48,2020-01-01,964
49,2020-02-01,899
50,2020-03-01,970
51,2020-04-01,840
52,2020-05-01,1121
53,2020-06-01,1119
54,2020-07-01,869
55,2020-08-01,1121
56,2020-09-01,1363
57,2020-10-01,1415
58,2020-11-01,912
59,2020-12-01,643
60,2021-01-01,156
