,Time,y
0,2004-01,2
1,2004-02,3
2,2004-03,2
3,2004-04,2
4,2004-05,3
5,2004-06,2
6,2004-07,2
7,2004-08,2
8,2004-09,3
9,2004-10,6
10,2004-11,3
11,2004-12,2
12,2005-01,2
13,2005-02,2
14,2005-03,2
15,2005-04,3
16,2005-05,2
17,2005-06,2
18,2005-07,2
19,2005-08,2
20,2005-09,3
21,2005-10,4
22,2005-11,3
23,2005-12,2
24,2006-01,2
25,2006-02,2
26,2006-03,2
27,2006-04,2
28,2006-05,2
29,2006-06,3
30,2006-07,2
31,2006-08,3
32,2006-09,2
33,2006-10,3
34,2006-11,3
35,2006-12,2
36,2007-01,2
37,2007-02,3
38,2007-03,3
39,2007-04,3
40,2007-05,2
41,2007-06,2
42,2007-07,2
43,2007-08,2
44,2007-09,3
45,2007-10,3
46,2007-11,3
47,2007-12,2
48,2008-01,2
49,2008-02,2
50,2008-03,2
51,2008-04,2
52,2008-05,2
53,2008-06,2
54,2008-07,2
55,2008-08,2
56,2008-09,2
57,2008-10,3
58,2008-11,3
59,2008-12,2
60,2009-01,2
61,2009-02,3
62,2009-03,2
63,2009-04,3
64,2009-05,3
65,2009-06,3
66,2009-07,3
67,2009-08,4
68,2009-09,6
69,2009-10,14
70,2009-11,13
71,2009-12,5
72,2010-01,4
73,2010-02,3
74,2010-03,3
75,2010-04,3
76,2010-05,3
77,2010-06,2
78,2010-07,2
79,2010-08,3
80,2010-09,3
81,2010-10,3
82,2010-11,3
83,2010-12,2
84,2011-01,3
85,2011-02,2
86,2011-03,2
87,2011-04,2
88,2011-05,2
89,2011-06,2
90,2011-07,2
91,2011-08,2
92,2011-09,3
93,2011-10,3
94,2011-11,3
95,2011-12,2
96,2012-01,2
97,2012-02,3
98,2012-03,2
99,2012-04,3
100,2012-05,3
101,2012-06,3
102,2012-07,3
103,2012-08,3
104,2012-09,3
105,2012-10,3
106,2012-11,3
107,2012-12,2
108,2013-01,4
109,2013-02,3
110,2013-03,3
111,2013-04,3
112,2013-05,3
113,2013-06,3
114,2013-07,3
115,2013-08,3
116,2013-09,3
117,2013-10,4
118,2013-11,3
119,2013-12,3
120,2014-01,3
121,2014-02,3
122,2014-03,3
123,2014-04,3
124,2014-05,3
125,2014-06,3
126,2014-07,3
127,2014-08,3
128,2014-09,4
129,2014-10,5
130,2014-11,3
131,2014-12,3
132,2015-01,4
133,2015-02,5
134,2015-03,3
135,2015-04,3
136,2015-05,3
137,2015-06,3
138,2015-07,3
139,2015-08,3
140,2015-09,4
141,2015-10,4
142,2015-11,3
143,2015-12,3
144,2016-01,3
145,2016-02,4
146,2016-03,3
147,2016-04,3
148,2016-05,3
149,2016-06,3
150,2016-07,3
151,2016-08,3
152,2016-09,4
153,2016-10,4
154,2016-11,3
155,2016-12,3
156,2017-01,3
157,2017-02,4
158,2017-03,4
159,2017-04,4
160,2017-05,3
161,2017-06,4
162,2017-07,4
163,2017-08,4
164,2017-09,4
165,2017-10,5
166,2017-11,4
167,2017-12,3
168,2018-01,4
169,2018-02,4
170,2018-03,4
171,2018-04,4
172,2018-05,4
173,2018-06,4
174,2018-07,4
175,2018-08,4
176,2018-09,4
177,2018-10,5
178,2018-11,5
179,2018-12,4
180,2019-01,5
181,2019-02,5
182,2019-03,5
183,2019-04,6
184,2019-05,5
185,2019-06,5
186,2019-07,5
187,2019-08,5
188,2019-09,5
189,2019-10,5
190,2019-11,5
191,2019-12,4
192,2020-01,5
193,2020-02,6
194,2020-03,18
195,2020-04,17
196,2020-05,17
197,2020-06,13
198,2020-07,20
199,2020-08,19
200,2020-09,16
201,2020-10,14
202,2020-11,23
203,2020-12,51
204,2021-01,91
205,2021-02,100
